Index	Label	Frequency
1329	lazy	70
1330	cries	4
1331	drunk	177
1332	value	33
1333	customers	30
1334	couples	6
1335	park	261
1336	seat	157
1337	fix	141
1338	plumber	16
1339	congratulated	12
1340	comfortable	75
1341	neighborhood	48
1342	deal	181
1343	socks	34
1344	positive	27
1345	ton	5
1346	kicked	24
1347	high	247
1348	bridges	5
1349	beach	161
1350	switched	8
1351	majors	8
1352	clapping	4
1353	writer	41
1354	life	670
1355	disgusted	12
1356	force	31
1357	tree	279
1358	communication	12
1359	skills	14
1360	improved	27
1361	should'	258
1362	mom	100
1363	remained	57
1364	dad	69
1365	shopped	1
1366	swelled	1
1367	rapidly	15
1368	heavy	103
1369	guitar	128
1370	fearless	14
1371	forgot	271
1372	shutter	1
1373	windows	64
1374	storm	107
1375	hit	180
1376	important	360
1377	success	132
1378	collection	17
1379	stamps	45
1380	uncles	5
1381	astonished	17
1382	risky	18
1383	thinks	135
1384	took	639
1385	wing	5
1386	enjoy	251
1387	piano	149
1388	wash	97
1389	hands	243
1390	bite	53
1391	tear	9
1392	founded	7
1393	1970	4
1394	able	480
1395	attempted	18
1396	persuade	40
1397	sells	28
1398	solar	11
1399	energy	69
1400	source	20
1401	sincerity	2
1402	annoyed	20
1403	date	128
1404	period	7
1405	bern	1
1406	capital	45
1407	switzerland	13
1408	nearly	68
1409	starved	18
1410	brother	418
1411	illness	40
1412	translate	75
1413	solution	76
1414	today'	58
1415	ignore	55
1416	belong	69
1417	melted	14
1418	non-smoking	4
1419	section	12
1420	shall	56
1421	looked	341
1422	cupboard	5
1423	beatles	7
1424	surrounded	27
1425	uncorked	2
1426	bottle	98
1427	forward	180
1428	overworked	13
1429	key	203
1430	dropped	64
1431	laughed	104
1432	funeral	26
1433	conspicuous	2
1434	absence	23
1435	answers	48
1436	safely	20
1437	bear	59
1438	highly	48
1439	unlikely	52
1440	willing	123
1441	beans	17
1442	oiled	3
1443	nearby	33
1444	ready	577
1445	boyfriend	118
1446	months	88
1447	cookies	68
1448	elevator	41
1449	puts	22
1450	blender	2
1451	drinks	76
1452	smelling	2
1453	soup	64
1454	swept	12
1455	floor	142
1456	eye	94
1457	further	65
1458	preparing	30
1459	laughing	104
1460	declined	14
1461	invitation	48
1462	questions	329
1463	intend	57
1464	dress	210
1465	occasion	16
1466	blond	4
1467	hair	265
1468	worth	157
1469	visiting	32
1470	least	168
1471	lock	107
1472	mosque	1
1473	torched	1
1474	middle	61
1475	deck	5
1476	cards	80
1477	writes	38
1478	scripts	3
1479	cops	51
1480	sunday	131
1481	furthermore	1
1482	cultural	5
1483	scare	39
1484	exceed	1
1485	speed	33
1486	limit	21
1487	refreshing	7
1488	mozart'	3
1489	short	191
1490	urgent	67
1491	matters	58
1492	attend	93
1493	advice	290
1494	soccer	81
1495	dangerous	171
1496	sport	37
1497	argue	36
1498	attributed	9
1499	hurt	443
1500	lasted	32
1501	everything'	38
1502	quite	325
1503	fashioned	6
1504	pen	108
1505	tape	13
1506	sticky	9
1507	confidence	28
1508	bath	73
1509	celebrated	11
1510	intention	31
1511	adorable	11
1512	similar	56
1513	proverb	12
1514	cook	154
1515	number	257
1516	5	41
1517	health	163
1518	pursue	4
